title,price_mln_MNT,flooring_material,number_of_balcony,year_of_commissioning,garage,window_type,number_of_storeys,door_type,area_sq_m,apartment_storey,leasing,district,number_of_windows,location,construction_progress
Кино үйлдвэрт 3өрөө байр,210.0,Паркет,1.0,2022.0,Байгаа,Вакум,12.0,Бүргэд,81.0,10.0,Лизинггүй,Баянзүрх,4.0,15-р хороолол,Ашиглалтад орсон
Кино үйлдвэрт 2 өрөө байр,110.0,Паркет,0.0,2023.0,Байгаа,Вакум,12.0,Бүргэд,45.0,4.0,Лизинггүй,Баянзүрх,2.0,15-р хороолол,Ашиглалтад орсон
Кино үйлдвэрт 2 өрөө байр,160.0,Паркет,1.0,2023.0,Байхгүй,Вакум,12.0,Төмөр,64.0,5.0,Лизинггүй,Баянзүрх,2.0,Бусад,Ашиглалтад орсон
69 р сургуулийн ард хотол апартмэнт хотхон 57m2,2.6,Паркет,1.0,2023.0,Байхгүй,Вакум,4.0,Бүргэд,57.77,12.0,Банкны лизингтэй,Баянзүрх,4.0,15-р хороолол,Ашиглалтад ороогүй
Халдвартад 2 өрөө,139.0,Паркет,1.0,2015.0,Байхгүй,Вакум,12.0,Төмөр,50.3,11.0,Лизинггүй,Баянзүрх,2.0,14-р хороолол,Ашиглалтад орсон
Улаанбаатар палас ард 2 өрөө,152.0,Паркет,1.0,2010.0,Байгаа,Вакум,5.0,Бүргэд,61.0,1.0,Лизинггүй,Баянгол,3.0,Бусад,Ашиглалтад орсон
Royal crown villa-д 5 өрөө орон сууц,1.5,Паркет,2.0,2013.0,Байгаа,Вакум,6.0,Бүргэд,309.0,4.0,Банкны лизингтэй,Хан-Уул,7.0,Зайсан,Ашиглалтад орсон
Саппоро д 3 өрөө,123.0,Паркет,1.0,2005.0,Байхгүй,Вакум,12.0,Бүргэд,32.0,2.0,Лизинггүй,Сонгино Хайрхан,2.0,Бусад,Ашиглалтад орсон
Зайсанд 1 өрөө,82.0,Паркет,1.0,2017.0,Байхгүй,Вакум,8.0,Бүргэд,32.0,1.0,Банкны лизингтэй,Хан-Уул,1.0,Зайсан,Ашиглалтад орсон
Global town хотхонд 3 өрөө,389.0,Паркет,1.0,2023.0,Байхгүй,Вакум,23.0,Төмөр,86.41,12.0,Лизинггүй,Хан-Уул,4.0,Хурд,Ашиглалтад ороогүй
River view хотхонд 3 өрөө,265.0,Паркет,1.0,2023.0,Байгаа,Вакум,12.0,Төмөр,77.0,6.0,Лизинггүй,Хан-Уул,3.0,Мишээл,Ашиглалтад ороогүй
Garden city 71.5м2 3 өрөө байр,4.05,Паркет,2.0,2020.0,Байхгүй,Вакум,5.0,Төмөр,71.5,4.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Халдварт 2 өрөө,139.0,Паркет,1.0,2015.0,Байхгүй,Вакум,12.0,Төмөр,50.3,11.0,Лизинггүй,Баянзүрх,2.0,14-р хороолол,Ашиглалтад орсон
Нисэхд 2 өрөө байр,95.0,Паркет,1.0,2016.0,Байхгүй,Вакум,9.0,Бүргэд,40.0,6.0,Банкны лизингтэй,Хан-Уул,2.0,Нисэх,Ашиглалтад орсон
Монгол хотхон 66ж 3 өрөө 50м2,130.0,Паркет,1.0,2017.0,Байхгүй,Вакум,10.0,Бүргэд,50.0,9.0,Лизинггүй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
Мандала хотхонд 4 өрөө,440.0,Паркет,2.0,2023.0,Байгаа,Вакум,16.0,Төмөр вакум,122.7,16.0,Лизинггүй,Хан-Уул,7.0,Яармаг,Ашиглалтад орсон
Solaris хотхонд нүүж ороход бэлэн120 мкв 4 өрөө,564.0,Паркет,1.0,2022.0,Байхгүй,Төмөр вакум,14.0,Төмөр,120.0,5.0,Лизинггүй,Хан-Уул,6.0,Хүннү,Ашиглалтад орсон
3 өрөө американ дэнжийн байр,279.0,Паркет,1.0,2011.0,Байгаа,Төмөр вакум,16.0,Бүргэд,90.0,4.0,Банкны лизингтэй,Баянзүрх,3.0,15-р хороолол,Ашиглалтад орсон
"3,4-р хороолол 2 өрөө байр",210.0,Паркет,1.0,2011.0,Байгаа,Вакум,10.0,Бүргэд,71.0,8.0,Лизинггүй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
19t shine bair,180.0,Ламинат,1.0,2021.0,Байгаа,Вакум,12.0,Төмөр,40.0,6.0,Лизинггүй,Хан-Уул,2.0,19-р хороолол,Ашиглалтад орсон
Сонсголон ENCANTO ОРГИЛ-22 хотхонд 55.86мкв 3өрөө,120.0,Паркет,1.0,2022.0,Байгаа,Вакум,9.0,Бүргэд,56.0,5.0,Лизинггүй,Сонгино Хайрхан,3.0,Бусад,Ашиглалтад орсон
13-р хороололд 2 өрөө байр 42.25м2,110.0,Паркет,1.0,2014.0,Байхгүй,Вакум,6.0,Бүргэд,42.25,1.0,Лизинггүй,Баянзүрх,3.0,13-р хороолол,Ашиглалтад орсон
21-р хороолол 51м2 2 өрөө,2.4,Паркет,1.0,2023.0,Байгаа,Вакум,10.0,Бүргэд,57.7,4.0,Хувь лизингтэй,Сонгино Хайрхан,2.0,21-р хороолол,Ашиглалтад ороогүй
Хан -уул ивээл хотхонд иж бүрэн тавилгатай 2 өрөө байр,170.0,Паркет,1.0,2015.0,Байхгүй,Вакум,12.0,Бүргэд,53.0,10.0,Лизинггүй,Хан-Уул,3.0,Бусад,Ашиглалтад орсон
11 хороололд 2 өрөө байр,180.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,61.0,5.0,Банкны лизингтэй,Сүхбаатар,3.0,11-р хороолол,Ашиглалтад орсон
Хотын төвд байрлалтай 2 өрөө байр,180.0,Паркет,0.0,1989.0,Байхгүй,Вакум,4.0,Бүргэд,50.0,2.0,Банкны лизингтэй,Сүхбаатар,3.0,Бага тойрог,Ашиглалтад орсон
1 өрөө байр,2.6,Паркет,1.0,2017.0,Байхгүй,Вакум,15.0,Бүргэд,35.64,12.0,Лизинггүй,Сонгино Хайрхан,2.0,21-р хороолол,Ашиглалтад орсон
Схд 21 хороололд 2 өрөө байр,90.0,Паркет,1.0,2015.0,Байхгүй,Вакум,15.0,Бүргэд,38.0,4.0,Лизинггүй,Сонгино Хайрхан,3.0,21-р хороолол,Ашиглалтад орсон
Mega city хотхонд 41.1мкв 2 өрөө,96.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,41.1,10.0,Лизинггүй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад ороогүй
Peace mall-ийн зүүн талд 123 мкв 4 өрөө байр,504.0,Паркет,3.0,2008.0,Байгаа,Вакум,12.0,Төмөр,123.0,11.0,Банкны лизингтэй,Чингэлтэй,8.0,5-р хороолол,Ашиглалтад орсон
Хаппи таун хотхонд 2 өрөө байр,156.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,62.56,6.0,Лизинггүй,Баянзүрх,4.0,15-р хороолол,Ашиглалтад орсон
Өгөөмөр захын хажууд нарт хотхон 81байранд 2өрөө,115.0,Паркет,1.0,2015.0,Байхгүй,Вакум,7.0,Төмөр,45.74,3.0,Лизинггүй,Баянзүрх,2.0,Өгөөмөр захын зүүн,Ашиглалтад орсон
"Худ, парк хаус хотхон 1өрөө",118.0,Паркет,1.0,2013.0,Байхгүй,Вакум,9.0,Бүргэд,41.0,6.0,Лизинггүй,Хан-Уул,3.0,UB Town,Ашиглалтад орсон
Хан уул дүүрэг flowers town-д 4 өрөө,392.35,Паркет,2.0,2011.0,Байхгүй,Вакум,12.0,Төмөр вакум,112.1,3.0,Банкны лизингтэй,Хан-Уул,5.0,Бусад,Ашиглалтад орсон
Ботаникт 1 өрөө,53.0,Паркет,0.0,2014.0,Байхгүй,Төмөр вакум,5.0,Бүргэд,17.0,1.0,Лизинггүй,Баянзүрх,1.0,Бусад,Ашиглалтад орсон
Sunset хотхонд төвийн шугамд холбогдсон 3өрөө,300.0,Паркет,2.0,2022.0,Байгаа,Вакум,3.0,Бүргэд,84.45,3.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
Номноо апартмент 3 өрөө,318.36,Паркет,1.0,2015.0,Байхгүй,Вакум,10.0,Төмөр,109.78,5.0,Лизинггүй,Баянзүрх,3.0,Бусад,Ашиглалтад орсон
Олонлог академи сургуулийн хажууд 4 өрөө 116м кв байр гараашийн хамт,500.0,Паркет,2.0,2018.0,Байгаа,Модон вакум,14.0,Төмөр,116.0,8.0,Лизинггүй,Баянзүрх,5.0,Бусад,Ашиглалтад орсон
Аман хуур 2 хотхонд 3 өрөө,220.0,Паркет,1.0,2017.0,Байхгүй,Вакум,13.0,Бүргэд,72.72,10.0,Лизинггүй,Баянзүрх,3.0,13-р хороолол,Ашиглалтад орсон
Худ 3-р хороо ривер стоун хотхонд 3 өрөө байр,285.0,Паркет,2.0,2015.0,Байхгүй,Вакум,10.0,Бүргэд,96.0,8.0,Лизинггүй,Хан-Уул,4.0,Алтай хотхон,Ашиглалтад орсон
Замын цагдаа үйлдвэрчин хотхонд 3 өрөө байр,193.2,Паркет,1.0,2018.0,Байхгүй,Вакум,17.0,Вакум,69.0,2.0,Лизинггүй,Баянзүрх,3.0,Бусад,Ашиглалтад орсон
Рапид хороололд 2 өрөө,202.0,Паркет,1.0,2015.0,Байгаа,Вакум,9.0,Бүргэд,54.0,9.0,Лизинггүй,Хан-Уул,2.0,Хурд,Ашиглалтад орсон
Баянмонгол хорооллын урд тансаг зэрэглэлийн santo smart хотхонд 3 өрөө орон сууц,4.35,Паркет,1.0,2021.0,Байхгүй,Вакум,16.0,Бүргэд,98.0,11.0,Лизинггүй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
1 өрөө,120.0,Паркет,1.0,2013.0,Байхгүй,Вакум,12.0,Төмөр вакум,32.0,4.0,Банкны лизингтэй,Хан-Уул,1.0,Хурд,Ашиглалтад орсон
"Террастай, давхар түвшинтэй орон сууц",354.0,Цемент,3.0,2017.0,Байгаа,Вакум,10.0,Төмөр вакум,154.0,10.0,Лизинггүй,Хан-Уул,8.0,Зайсан,Ашиглалтад орсон
Жуков хотхонд 1өрөө,90.0,Паркет,1.0,2015.0,Байхгүй,Вакум,13.0,Бүргэд,31.0,5.0,Лизинггүй,Баянзүрх,1.0,15-р хороолол,Ашиглалтад орсон
13р хороололд гялс төвийн хажуу талын байранд гал тогоо тусдаа 3 өрөө,170.0,Паркет,1.0,2000.0,Байхгүй,Вакум,5.0,Бүргэд,72.0,4.0,Лизинггүй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
Belmonte 5 өрөө,518.0,Паркет,2.0,2022.0,Байхгүй,Төмөр вакум,10.0,Бүргэд,148.0,1.0,Лизинггүй,Хан-Уул,5.0,Яармаг,Ашиглалтад орсон
Инээмсэглэл хотхон 50.26,150.0,Паркет,1.0,2020.0,Байхгүй,Вакум,16.0,Төмөр,50.26,15.0,Лизинггүй,Баянзүрх,2.0,Офицер,Ашиглалтад орсон
Хорооллын эцэст хөх сувд хотхонд 2 өрөө,115.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,46.0,13.0,Хувь лизингтэй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад ороогүй
ХУД 3өрөө 94м2,3.1,Паркет,2.0,2011.0,Байхгүй,Вакум,12.0,Бүргэд,94.0,4.0,Банкны лизингтэй,Хан-Уул,5.0,Мишээл,Ашиглалтад орсон
Офицер x apartment-ын зүүн талд 40м² 2 өрөө орон сууц,128.0,Паркет,2.0,2018.0,Байхгүй,Вакум,9.0,Бүргэд,40.0,2.0,Лизинггүй,Баянзүрх,3.0,Офицер,Ашиглалтад орсон
Бзд кино үйлдвэр happy town 2өрөө,142.0,Паркет,1.0,2015.0,Байхгүй,Вакум,16.0,Бүргэд,56.64,3.0,Банкны лизингтэй,Баянзүрх,2.0,Бусад,Ашиглалтад орсон
"Garden city 2t 77,5 m2 3 uruu bair яармаг арцат ам",4.65,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,77.5,14.0,Лизинггүй,Хан-Уул,5.0,Яармаг,Ашиглалтад орсон
Хүннү 2222 хотхон 70м2,314.0,Паркет,1.0,2016.0,Байхгүй,Вакум,23.0,Бүргэд,69.98,1.0,Лизинггүй,Хан-Уул,4.0,Хүннү,Ашиглалтад орсон
Санто смарт апартментд,4.35,Паркет,1.0,2021.0,Байхгүй,Вакум,16.0,Бүргэд,98.6,11.0,Лизинггүй,Баянзүрх,3.0,Олимп хотхон,Ашиглалтад орсон
Ирээдүйн билэг хотхонд 3 өрөө 74м2,214.6,Паркет,1.0,2022.0,Байгаа,Төмөр вакум,16.0,Бүргэд,74.0,11.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад ороогүй
Яармаг вива ситид 1 өрөө,58.0,Паркет,0.0,2014.0,Байхгүй,Вакум,5.0,Бүргэд,20.0,3.0,Лизинггүй,Хан-Уул,1.0,Яармаг,Ашиглалтад орсон
2 өрөө,128.0,Паркет,1.0,2018.0,Байхгүй,Вакум,13.0,Бүргэд,50.0,5.0,Банкны лизингтэй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
Содон хороололд 2 өрөө,120.0,Паркет,1.0,2015.0,Байхгүй,Вакум,16.0,Төмөр,43.16,12.0,Лизинггүй,Сонгино Хайрхан,2.0,21-р хороолол,Ашиглалтад орсон
Global town residence-д 84мкв 3өрөө,5.3,Паркет,1.0,2022.0,Байхгүй,Вакум,14.0,Төмөр,84.0,22.0,Лизинггүй,Хан-Уул,4.0,Бусад,Ашиглалтад ороогүй
55.56 mk 3uruu bair,130.0,Паркет,1.0,2019.0,Байхгүй,Вакум,13.0,Вакум,55.56,8.0,Лизинггүй,Баянзүрх,3.0,Өгөөмөр захын зүүн,Ашиглалтад орсон
Шинэ яармаг хороололд 2 өрөө байр 64.5м2,3.2,Паркет,1.0,2021.0,Байгаа,Вакум,16.0,Бүргэд,64.5,16.0,Банкны лизингтэй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
4 өрөө байр,150.0,Паркет,1.0,1990.0,Байхгүй,Модон вакум,5.0,Бүргэд,50.0,5.0,Банкны лизингтэй,Сонгино Хайрхан,5.0,5 шар,Ашиглалтад орсон
Тime classic tower-т 4 өрөө орон сууц 138.7м2,860.0,Паркет,1.0,2020.0,Байгаа,Төмөр вакум,24.0,Бүргэд,138.7,4.0,Лизинггүй,Сүхбаатар,5.0,Бусад,Ашиглалтад орсон
Шинэ дүр төрх хотхонд 147мкв 3 өрөө,2.3,Паркет,2.0,2008.0,Байхгүй,Вакум,5.0,Төмөр,146.7,1.0,Лизинггүй,Хан-Уул,4.0,UB Town,Ашиглалтад орсон
Тэмүүлэл хотхонд 2өрөө,145.0,Паркет,1.0,2013.0,Байхгүй,Вакум,12.0,Бүргэд,55.0,7.0,Лизинггүй,Баянгол,2.0,10-р хороолол,Ашиглалтад орсон
Бзд 16-р хороолол төв зам дагуу apartment 13 байранд шинэ 2 өрөө орон сууц,114.65,Паркет,1.0,2022.0,Байхгүй,Вакум,14.0,Бүргэд,39.67,12.0,Лизинггүй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
"Бзд 1 өрөө 32,55м2",91.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,32.55,13.0,Лизинггүй,Баянзүрх,1.0,16-р хороолол,Ашиглалтад орсон
Аз жаргал хотхонд 3 өрөө,182.78,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,65.28,9.0,Банкны лизингтэй,Сүхбаатар,3.0,100 айл,Ашиглалтад орсон
Аз жаргал хотхонд 2 өрөө,118.27,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,42.24,6.0,Банкны лизингтэй,Сүхбаатар,2.0,100 айл,Ашиглалтад орсон
Ub palace-н ард 2 өрөө байр,152.0,Паркет,0.0,2010.0,Байхгүй,Вакум,5.0,Бүргэд,61.0,1.0,Лизинггүй,Баянгол,3.0,25-р эмийн сан,Ашиглалтад орсон
5 шард well mart-тай байранд 59.1м² 2 өрөө,133.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,59.1,9.0,Лизинггүй,Сонгино Хайрхан,2.0,5 шар,Ашиглалтад орсон
Бзд 16-р хороолол батлан хамгаалахын их сургуулийн хойно шинэ 2 өрөө орон сууц,132.0,Паркет,1.0,2022.0,Байхгүй,Вакум,14.0,Бүргэд,45.67,12.0,Лизинггүй,Баянзүрх,2.0,16-р хороолол,Ашиглалтад орсон
"Бзд-26, санто смарт апартментэд 3 өрөө",491.0,Паркет,2.0,2018.0,Байгаа,Вакум,16.0,Бүргэд,120.0,13.0,Лизинггүй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
Ulaan huarand 3 uruu bair,144.0,Паркет,1.0,2017.0,Байхгүй,Вакум,16.0,Төмөр вакум,60.0,8.0,Лизинггүй,Баянзүрх,3.0,16-р хороолол,Ашиглалтад орсон
Энхтайваны гүүрний баруун талд нархан хотхон 64.5мкв 2 өрөө,259.0,Паркет,1.0,2008.0,Байхгүй,Вакум,12.0,Бүргэд,64.5,11.0,Лизинггүй,Хан-Уул,2.0,120 мянгат,Ашиглалтад орсон
2 өрөө 46м2,138.0,Паркет,1.0,2022.0,Байхгүй,Вакум,7.0,Бүргэд,46.0,5.0,Лизинггүй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
Үйлдвэрчин хотхонд 3 өрөө байр,193.0,Паркет,2.0,2014.0,Байхгүй,Вакум,16.0,Бүргэд,69.0,2.0,Лизинггүй,Сүхбаатар,2.0,Бусад,Ашиглалтад орсон
"Бзд, 26-р хороо элизабет хотхонд 84.75мкв 3өрөө байр",369.0,Паркет,0.0,2016.0,Байхгүй,Вакум,16.0,Бүргэд,84.75,5.0,Лизинггүй,Баянзүрх,3.0,Баянмонгол хороолол,Ашиглалтад орсон
"Бгд, 25-р эмийн сангийн баруун талд 3өрөө байр",175.0,Паркет,1.0,2009.0,Байхгүй,Вакум,16.0,Бүргэд,63.0,1.0,Лизинггүй,Баянгол,3.0,25-р эмийн сан,Ашиглалтад орсон
"Академи-2 хотхонд 79,98м.кв 3 өрөө байр",431.89,Паркет,1.0,2020.0,Байхгүй,Вакум,22.0,Бүргэд,79.98,21.0,Банкны лизингтэй,Хан-Уул,4.0,Бусад,Ашиглалтад орсон
19 хороолол бадрах хотонд 2 өрөө байр,162.26,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,42.7,11.0,Хувь лизингтэй,Хан-Уул,2.0,19-р хороолол,Ашиглалтад ороогүй
River villa хотхонд шинэ 3өрөө байр,2.95,Паркет,0.0,2023.0,Байхгүй,Вакум,16.0,Төмөр,116.0,14.0,Лизинггүй,Хан-Уул,3.0,Бусад,Ашиглалтад орсон
1-р хороолол эрин хороололд 53.49м2 2 өрөө байр гал тогооны тавига үлдэнэ,150.0,Паркет,1.0,2017.0,Байхгүй,Вакум,9.0,Вакум,53.49,5.0,Лизинггүй,Баянгол,3.0,1-р хороолол,Ашиглалтад орсон
Нүхтийн зам дагуу sunset house хотхонд 3 өрөө,295.0,Паркет,1.0,2021.0,Байгаа,Вакум,3.0,Төмөр,88.0,2.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
Japan town c4 нүүгээд орход бэлэн 4 өрөө,1.45,Паркет,2.0,2014.0,Байгаа,Вакум,16.0,Бүргэд,191.0,6.0,Банкны лизингтэй,Хан-Уул,7.0,Japan town,Ашиглалтад орсон
Сөүл роял каунти - seoul royal county 4 өрөө орон сууц,930.0,Паркет,1.0,2011.0,Байгаа,Вакум,6.0,Төмөр,200.0,1.0,Лизинггүй,Хан-Уул,5.0,Зайсан,Ашиглалтад орсон
Өгөөмөр захын зүүн алтан тэвш хотхонд гал тогоо тусдаа гэрчилгээ бэлэн шинэ байр,146.78,Паркет,1.0,2023.0,Байхгүй,Модон вакум,16.0,Бүргэд,51.5,3.0,Лизинггүй,Баянзүрх,3.0,14-р хороолол,Ашиглалтад орсон
Хайластын 15 буудал байрлалтай 4өрөө,380.0,Паркет,0.0,2012.0,Байгаа,Вакум,1.0,Бүргэд,88.0,1.0,Лизинггүй,Чингэлтэй,6.0,Бусад,Ашиглалтад орсон
Схд урд 1өрөө,70.0,Паркет,1.0,2019.0,Байхгүй,Вакум,5.0,Бүргэд,30.0,2.0,Лизинггүй,Сонгино Хайрхан,1.0,21-р хороолол,Ашиглалтад орсон
Тулгат хотхонд 2өрөө,115.0,Паркет,1.0,2016.0,Байхгүй,Вакум,6.0,Бүргэд,50.0,4.0,Лизинггүй,Баянзүрх,3.0,Бусад,Ашиглалтад орсон
Korea town-д 1 өрөө,103.0,Паркет,1.0,2013.0,Байхгүй,Вакум,10.0,Бүргэд,38.4,8.0,Лизинггүй,Баянгол,2.0,Бусад,Ашиглалтад орсон
Саппород 2 өрөө,118.0,Паркет,1.0,2002.0,Байхгүй,Вакум,12.0,Бүргэд,55.0,2.0,Лизинггүй,Сонгино Хайрхан,2.0,1-р хороолол,Ашиглалтад орсон
Говь сауны урд байрлалтай 2 өрөө,118.0,Паркет,1.0,2008.0,Байхгүй,Вакум,4.0,Бүргэд,52.0,3.0,Лизинггүй,Баянгол,4.0,Бусад,Ашиглалтад орсон
Бзд тулга хотхонд 1өрөө,95.0,Паркет,1.0,2016.0,Байхгүй,Вакум,6.0,Бүргэд,35.51,3.0,Лизинггүй,Баянзүрх,2.0,Бусад,Ашиглалтад орсон
Дэлгэрэх апартмэнт 2 өрөө,157.38,Ламинат,1.0,2022.0,Байхгүй,Вакум,12.0,Төмөр,53.0,6.0,Лизинггүй,Баянзүрх,2.0,15-р хороолол,Ашиглалтад орсон
11-р хороололд угсармалын гал тогоо тусдаа 2 өрөө,158.0,Паркет,1.0,1990.0,Байхгүй,Вакум,9.0,Төмөр,60.0,4.0,Лизинггүй,Сүхбаатар,3.0,11-р хороолол,Ашиглалтад орсон
Арцат форчюн хотхонд 3 өрөө орон сууц,265.51,Паркет,1.0,2023.0,Байхгүй,Вакум,8.0,Төмөр,75.86,2.0,Лизинггүй,Хан-Уул,4.0,Яармаг,Ашиглалтад ороогүй
Төв цэнгэлдэхийн урд парк гарден хотхонд 3 өрөө байр,335.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,61.0,3.0,Банкны лизингтэй,Хан-Уул,3.0,120 мянгат,Ашиглалтад орсон
Их наяд-н хажууд river villa хотхонд 2 өрөө орон сууц,235.0,Паркет,0.0,2021.0,Байхгүй,Вакум,16.0,Төмөр вакум,69.67,13.0,Лизинггүй,Хан-Уул,2.0,Бусад,Ашиглалтад орсон
Саппорогийн арын 2 байранд гал тогоо тусдаа 3 өрөө,170.0,Паркет,1.0,1989.0,Байхгүй,Вакум,12.0,Бүргэд,70.0,2.0,Банкны лизингтэй,Сонгино Хайрхан,4.0,1-р хороолол,Ашиглалтад орсон
Зайсан solar garden хотхонд 3 өрөө орон сууц,390.0,Паркет,0.0,2020.0,Байхгүй,Вакум,5.0,Бүргэд,120.0,1.0,Лизинггүй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
2 өрөө,133.25,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,51.35,6.0,Лизинггүй,Сүхбаатар,2.0,Баянбүрд,Ашиглалтад орсон
Төмөр замд 2 өрөө,3.9,Паркет,1.0,2017.0,Байхгүй,Вакум,16.0,Бүргэд,31.0,4.0,Лизинггүй,Баянгол,2.0,Төмөр зам,Ашиглалтад орсон
Апартмент 100 /65 а байр/ 3 өрөө орон сууцыг 4 өрөө болгож зассан орон сууц,400.55,Паркет,2.0,2021.0,Байхгүй,Вакум,16.0,Төмөр,95.37,14.0,Лизинггүй,Баянгол,4.0,"3, 4 хороолол",Ашиглалтад орсон
19 хороолол ивээл хотхонд 2 өрөө орон сууц,170.0,Паркет,1.0,2013.0,Байхгүй,Вакум,12.0,Бүргэд,52.67,10.0,Банкны лизингтэй,Хан-Уул,2.0,19-р хороолол,Ашиглалтад орсон
Зайсанд seven star-д 55м2,225.0,Паркет,1.0,2023.0,Байхгүй,Вакум,16.0,Бүргэд,55.0,9.0,Лизинггүй,Хан-Уул,3.0,Зайсан,Ашиглалтад ороогүй
"3,4-р хороолол korea town2 хотхонд 46м2 2 өрөө",130.0,Паркет,1.0,2014.0,Байхгүй,Вакум,15.0,Бүргэд,46.0,6.0,Лизинггүй,Баянгол,2.0,"3, 4 хороолол",Ашиглалтад орсон
Токио таун хотхонд 4 өрөө орон сууц,732.96,Паркет,1.0,2020.0,Байхгүй,Вакум,16.0,Төмөр,122.65,11.0,Лизинггүй,Хан-Уул,5.0,Бусад,Ашиглалтад орсон
Яармаг фермертай байранд 2 өрөө байр,2.8,Паркет,1.0,2016.0,Байхгүй,Вакум,16.0,Бүргэд,65.0,11.0,Лизинггүй,Хан-Уул,3.0,Яармаг,Ашиглалтад орсон
"13-р хороолол, натурт 3 өрөө",170.0,Паркет,1.0,2014.0,Байхгүй,Вакум,12.0,Бүргэд,62.0,4.0,Лизинггүй,Баянзүрх,4.0,13-р хороолол,Ашиглалтад орсон
3-хороолол хөх сувд хотхон 3 өрөө,109.5,Паркет,1.0,2023.0,Байгаа,Вакум,16.0,Төмөр,44.0,9.0,Хувь лизингтэй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад ороогүй
Хангарьд сити -2,155.76,Паркет,1.0,2022.0,Байхгүй,Вакум,13.0,Төмөр,66.0,2.0,Лизинггүй,Хан-Уул,2.0,Яармаг,Ашиглалтад орсон
Гранд вилла хотхонд 57мкв 3 өрөө,3.3,Паркет,0.0,2019.0,Байхгүй,Вакум,16.0,Бүргэд,57.0,14.0,Лизинггүй,Баянгол,3.0,Нарны хороолол,Ашиглалтад орсон
Гэмтэлийн эмнэлэгийн урд 1 өрөө,81.0,Паркет,0.0,2015.0,Байхгүй,Вакум,7.0,Бүргэд,28.72,6.0,Банкны лизингтэй,Баянгол,1.0,"3, 4 хороолол",Ашиглалтад орсон
Sky residence хотхонд 60.66мкв 3 өрөө байр,164.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,60.66,15.0,Лизинггүй,Баянзүрх,4.0,16-р хороолол,Ашиглалтад орсон
Бзд жуков 2өрөө 44.58м2,2.8,Паркет,1.0,2023.0,Байхгүй,Вакум,7.0,Төмөр,44.58,3.0,Лизинггүй,Баянзүрх,2.0,Бусад,Ашиглалтад ороогүй
Зайсан алтан богд хотхонд 4 өрөө байр,310.0,Паркет,1.0,2022.0,Байхгүй,Вакум,10.0,Бүргэд,91.2,7.0,Лизинггүй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
"Бгд, нарны гүүрний зүүн талд нарны хороололд 80мк2 3 өрөө",365.0,Паркет,1.0,2020.0,Байхгүй,Вакум,23.0,Бүргэд,80.0,14.0,Лизинггүй,Баянгол,2.0,Нарны хороолол,Ашиглалтад орсон
"Яармаг, марал аялал хотхонд 2 өрөө байр",140.0,Паркет,1.0,2022.0,Байхгүй,Вакум,16.0,Бүргэд,49.66,9.0,Хувь лизингтэй,Хан-Уул,2.0,Яармаг,Ашиглалтад ороогүй
2өрөө байр,150.0,Паркет,2.0,2012.0,Байхгүй,Вакум,9.0,Бүргэд,44.95,8.0,Хувь лизингтэй,Баянгол,3.0,"3, 4 хороолол",Ашиглалтад орсон
"Зайсан, номун виллаж хотхонд 101.65мкв 3 өрөө байр",285.0,Паркет,2.0,2018.0,Байхгүй,Вакум,10.0,Бүргэд,101.65,4.0,Банкны лизингтэй,Хан-Уул,4.0,Зайсан,Ашиглалтад орсон
